publicationDocumentIdentifier,publicationDate,inventionTitle,abstractText
US20190116698A1,04-18-2019,Vapor chamber with electromagnetic shielding function,"A vapor chamber with electromagnetic shielding function is for dissipating the heat generated by an electronic component. The vapor chamber includes a capillary structure, a support structure, and a working fluid. The vapor chamber includes an extension portion and a frame, and the extension portion extends from the main body of the vapor chamber and has a first coupling structure. The frame has side walls to surround the electronic component in a plane, and a second coupling structure is disposed on each of the side walls. The first coupling structure is engaged with the second coupling structure, so that the vapor chamber detachably covers the electronic component to perform the electromagnetic shielding function."
US20190127240A1,05-02-2019,Method and system for electromagnetic fluid treatment utilizing frequencies and harmonics,"A method and system for utilizing electromagnetic energy of a frequency, and/or multiple frequencies, and higher harmonics of those frequencies to disrupt the normal bonding of the fluid molecules and that of mineral structures within the body of the fluid is disclosed. Electromagnetic signals at a frequency, frequencies, and higher harmonics related to the energy absorption/emission profile of the fluid being treated are directed into the fluid through direct or indirect injection and/or induced coupling. The frequency, frequencies, and higher harmonics of the treatment signal, preferably between 0.1 KHz and 1000 MHz, may be changed if the absorption/emission profile of the fluid changes during treatment."
US20190148974A1,05-16-2019,Power supply device using electromagnetic power generation,"A power supply device using electromagnetic power generation includes an electric motor, an electromagnet, a winding, a rechargeable unit, and a battery case. The electromagnet is operatively connected to the electric motor so that an activation of the electric motor changes a magnetic field of the electromagnet. The winding is around the electromagnet so that the change of the magnetic field of the electromagnet generates emf in the winding. The rechargeable unit is electrically connected to both the electric motor and the electromagnet so that the emf is stored in the rechargeable unit or supply to an external electric load. The battery case includes an electrical wire electrically connected to the winding."
US20190150370A1,05-23-2019,Method and system for electromagnetic fluid treatment utilizing frequencies and harmonics,"A method and system for utilizing electromagnetic energy of a frequency, and/or multiple frequencies, and higher harmonics of those frequencies to disrupt the normal bonding of the fluid molecules and that of mineral structures within the body of the fluid is disclosed. Electromagnetic signals at a frequency, frequencies, and higher harmonics related to the energy absorption/emission profile of the fluid being treated are directed into the fluid through direct or indirect injection and/or induced coupling. The frequency, frequencies, and higher harmonics of the treatment signal, preferably between 0.1 KHz and 1000 MHz, may be changed if the absorption/emission profile of the fluid changes during treatment."
US20190152812A1,05-23-2019,Method and system for electromagnetic fluid treatment utilizing frequencies and harmonics,"A method and system for utilizing electromagnetic energy of a frequency, and/or multiple frequencies, and higher harmonics of those frequencies to disrupt the normal bonding of the fluid molecules and that of mineral structures within the body of the fluid is disclosed. Electromagnetic signals at a frequency, frequencies, and higher harmonics related to the energy absorption/emission profile of the fluid being treated are directed into the fluid through direct or indirect injection and/or induced coupling. The frequency, frequencies, and higher harmonics of the treatment signal, preferably between 0.1 KHz and 1000 MHz, may be changed if the absorption/emission profile of the fluid changes during treatment."
US20190162699A1,05-30-2019,Fluid cup and cup holder for use with an electromagnetic detection device,"One embodiment of a fluid cup and holder for the fluid cup for use with an electromagnetic detection device, thereby allowing a change to be detected in a fluid placed in the cup."
US20190301744A1,10-03-2019,Knob structure for electromagnetic oven,"A knob structure for an electromagnetic oven includes a knob switch assembly. The knob switch assembly consists of a sleeve button, a rotary encoder, a bracket of a display screen, and a control assembly. The knob switch assembly is connected to a printed circuit board through a through hole. A guide rib is disposed around a circumference of the through hole. The display screen with a protection assembly disposed outside is integrated with the knob switch assembly. The guide rib effectively prevents water from entering inside of the electromagnetic oven, lengthens a service life of the electromagnetic oven, and facilitates cleaning. The knob switch assembly integrated with the display screen realizes miniaturization and reduces a cost. The protection assembly ensures a display effect of the display screen."
US20190331717A1,10-31-2019,Method of informing of potentially harmful electromagnetic fields,"A method of determining the energy level of an electromagnetic field (EMF) received from an EMF source (EMFS) and for identifying the EMFS is provided, the method using a plurality of EMF sensing apparatuses to combine data gathered by the apparatuses in order to identify the level and the sources of the EMF at locations over time. Historical and anticipated EMF-related data is used to warn a user of EMF levels above a preset value. Past, current and future anticipated EMF levels are adapted to be displayed on a map. Methods thereof, apparatuses thereof and computer-readable mediums storing the methods are within the scope of the present invention."
US20190338341A1,11-07-2019,Methods and device for electromagnetic detection of polymerase chain reaction,"In a sample—reagent mix for polymerase chain reaction (PCR), forward primers are attached to superparamagnetic beads. During a part of a cycle of PCR, beads with bound amplicons are attracted to an electromagnet coil. Electrodeless, wireless detection of PCR and nucleic acid quantitation are achieved in real time by placing the beads in the ac electromagnetic field of the same, and/or another, coil and measuring, with one or both coils, cycle-by-cycle changes in the electrical conductivity and/or the complex permittivity of the aggregate of beads, amplicons, and the interspersed reaction mix. After the cycle's measurement is complete, the beads are redispersed within the reaction mix by coordinated action of the first coil and a third coil."
US20190387784A1,12-26-2019,"Electromagnetically tightening & losing, electromagnetically cutting and second eatable-stuff input puffing machine","A puffing machine is equipped with all of the assemblies:  is an electromagnetically cutting assembly—when the cut push-pull electromagnet is powered on, the core of the push-pull electromagnet will drive bar linkage and blade(s) to move open or close in the right or left direction so that the blade(s) can cut off the puffed food;  is an electromagnetically tightening & losing assembly—when the push-pull electromagnet is powered on, the friction wheel will be pressed on the surface of the big wheel so that the tightening or the losing consequences are reached by the movements of the end plate;  is a second eatable stuff input assembly—this assembly can bring the second eatable stuff into the central area of the puffed tubular food extruded by the main structure assembly of puffing machine"
US20190390720A1,12-26-2019,An electromagnetic clutch of a brushless control-by-wire centrifugal ball arm engagement device,"The present invention discloses an electromagnetic clutch of a brushless control-by-wire centrifugal ball arm engagement device, which comprises a brushless electromagnet, a thrust pressing disc, a driven inner-spline hub, a control-by-wire drive disc, a centrifugal ball arm hollow disc, centrifugal ball arm pins, centrifugal ball arms, centrifugal balls, a magnetic conductive force transmitting disk, a drive shaft; once the brushless electromagnet is energized, the centrifugal ball arms and the centrifugal balls each make a circular motion around the centrifugal ball arm pin outwardly along the smooth surface of the thrust pressing disc by the action of centrifugal force produced by them when rotating with high speed. The component of the centrifugal force in the direction of the central axis of the centrifugal ball arm hollow disc drives the thrust pressing disc to compress the outer-spline-groove steel sheets and the inner-spline-groove friction discs with each other, which makes the clutch engaged. The clutch is engaged smoothly with no impact, which is suitable for high-speed rotation and transmitting large torque."
US20120004204A1,01-05-2012,Methods for treating sexual dysfunction while decreasing cardiovascular risk,"Methods for treating female sexual dysfunction are provided. In particular, methods for treating a woman having HSDD by administering to the woman a therapeutically effective amount of an androgen, whereby the therapeutically effective amount of the androgen is administered in a manner that results in a reduction in expected number of cardiovascular events in the woman are provided."
US20120004312A1,01-05-2012,Synergistic combinations comprising a renin inhibitor for cardiovascular diseases,The invention relates to a combination comprising the renin inhibitor of formula (I)
US20120010295A1,01-12-2012,Synergistic combinations comprising a renin inhibitor for cardiovascular diseases,The invention relates to a combination comprising the renin inhibitor of formula (I)
US20120015019A1,01-19-2012,Drug Coated Balloon With In-Situ Formed Drug Containing Microspheres,"The current invention relates to methods of forming a coating that involves the in-situ formation of drug microspheres. The coating may be applied to a medical device, such as a catheter balloon or a stent. Coated devices and methods of treatment therewith are also encompassed within the embodiments of the present invention."
US20120016035A1,01-19-2012,Synergistic combinations comprising a renin inhibitor for cardiovascular diseases,The invention relates to a combination comprising the renin inhibitor of formula (I)
US20120022033A1,01-26-2012,Methods for decreasing cardiovascular risk in postmenopausal women,"Methods for decreasing the risk of cardiovascular events in postmenopausal women having a high risk for a cardiovascular event are provided. In particular, methods for decreasing the risk of cardiovascular events in postmenopausal woman at high risk for cardiovascular events by administering to the woman a therapeutically effective amount of an androgen, whereby administering the androgen decreases the risk of cardiovascular events in the woman compared to untreated postmenopausal woman at high risk for cardiovascular events are provided."
US20120035589A1,02-09-2012,Method and apparatus for plasma incision of cardiovascular tissue,"A method with apparatus for performing surgery using plasma is described. In one exemplary embodiment, the apparatus includes a radiofrequency signal generator, a conditioning network coupled to the radiofrequency signal generator, and a catheter coupled to the conditioning network, the catheter including at least one electrode, such that the conditioning network conditions radiofrequency energy produced by the radiofrequency signal generator to create plasma at the at least one electrode of the catheter. Such novel plasma ablation system provides the capability to create high precision ablation with minimal damage to adjacent structures in numerous types of matter while employing multiple operation platforms including catheter based plasma application."
US20120129152A1,05-24-2012,Diagnostic method for the prediction of the development of and control over the effectiveness of treatment of cardiovascular illnesses,"A diagnostic method for the prediction of the development and control of the effectiveness of the treatment of cardiovascular diseases, in which patient tissue samples are taken, microassay are prepared, specific antiviral immunoglobulins are processed, the number of cells infected by two or more viruses before the beginning of treatment are determined, and the dynamic of the change in the number of infected cells and their interrelationships are established: when the number of cells infected by cytomegalovirus and any other viruses decreases by more than 50±10% in patients without symptoms of cardiovascular pathology, a diagnostic conclusion is high danger of the development of atherosclerosis; if the number of cells infected by cytomegalovirus and any other viruses exceeds 50±10% in patients with demonstrated clinical signs of cardiovascular system pathology, a diagnostic conclusion is drawn of the danger of the development of complications such as arrhythmia, thrombolytic embolism."
US20120195856A1,08-02-2012,Method of treating patients with cardiovascular illness,This invention may be used in human and veterinary medicine in combination with traditional methods of treatment of cardiovascular illnesses for the purpose of increasing their effectiveness.
US20120251584A1,10-04-2012,Combination pharmaceutical composition and methods of treating diseases or conditions associated with the cardiovascular system,"The present application provides a pharmaceutical composition for administration to a patient suffering from at least one symptom of a cardiovascular condition, the composition comprising a) an activated-potentiated form of an antibody to angiotensin II AT1 receptor, and b) an activated-potentiated form of an antibody to endothelial NO-synthase."
US20130345314A1,12-26-2013,Compositions and methods for treating a damaged cardiovascular element,"In the present invention, the applicants describe methods and compositions of treating damaged cardiovascular elements and cardiovascular conditions including hypotension, atherosclerotic lesions, vulnerable plaque, and acute myocardial infarct. The applicants demonstrate the ability of a biomembrane sealing agent to accumulate on the walls of damaged blood vessels and help improving mean arterial pressure following tissue injury. The applicants describe the use of formulations comprising at least one biomembrane sealing agent and one bioactive agent for prophylactic treatment such as they could be administered concurrently to an invasive therapeutic intervention or after the insult (i.e. post-injury or post-surgery). Alternatively, these methods and compositions could be used to reduce the severity of cardiovascular diseases after onset."
US20140107202A1,04-17-2014,4-[(haloalkyl)(dimethyl)ammonio]butanoates and use thereof in the treatment of cardiovascular disease,4-[(Haloalkyl)(dimethyl)ammonio]butanoates of formula
US20140271923A1,09-18-2014,"Compositions & formulations for preventing and treating chronic diseases that cluster in patients such as cardiovascular disease, diabetes, obesity, polycystic ovary syndrome, hyperlipidemia and hypertension, as well as for preventing and treating other diseases and conditions","Patients inflicted with various clustering chronic diseases require treatment with multiple drugs having distinct mechanisms of action. Accordingly, patients with multiple conditions suffer from cumulative side effects of multiple drugs as well as drug-drug interactions. Embodiments, agents, compounds or drugs of the present invention, such as sesquiterpenes, e.g., Zerumbone, replace an equal or larger number of approved drugs during patient treatment. Examples of disorders prevented or ameliorated by administration of the formulations of this invention include but are not limited to inflammatory diseases that may be, oncological, genetic, ischemic, infectious, neurological, hematological, ophthalmological, rheumatoid, orthopedic, neurological, hematological, kidney, vascular, dermatological, gynecological, or obstetric. The present invention further relates to a method of identifying agents, compounds or drugs useful in preventing or treating CDCP related diseases and conditions as well as other disorders, diseases and conditions treatable or preventable by the same agents, compounds or drugs."
US20140302125A1,10-09-2014,Methods for treating cardiovascular disorders,"There is provided a once-a-day therapeutically synergistic pharmaceutical dosage form for treatment of cardiovascular disorders, wherein the dosage form comprises a fixed dose combination of metoprolol in extended release form and one or more calcium channel blocker, angiotensin II receptor blocker or angiotensin converting enzyme inhibitor along with one or more rate controlling excipient."
US20140302128A1,10-09-2014,"Biological oil composition, formulations comprising the oil composition, and use thereof to prevent or treat cardiovascular disease","This invention relates to a biological oil composition, preferably obtained from a copepod, most preferably the copepod and the use thereof to prevent or treat formation of atherosclerotic plaques and hence development of coronary heart disease. The composition comprises the same marine n-3 polyunsaturated fatty acids (PUFAs) generally regarded as being responsible for the anti-atherosclerotic effect of marine oils, namely EPA (C20:5n-3 eicosapentaenoic acid) and DHA (C22:6n-3 docosahexaenoic acid). However, quite unexpectedly, it has been found that the oil composition of the present invention has a remarkably higher ability to prevent formation of atherosclerotic plaques than what can be attributed to EPA and DHA alone, and moreover, unlike EPA and DHA alone it has a notable blood cholesterol lowering effect."
US20160360978A1,12-15-2016,Interferometric focusing beam optical cardiovascular sensor,"This application discloses a potable, easy-to-use miniature cardiovascular sensor that is capable of monitoring heart rate, blood flow and blood pressure 24/7, using optical non-invasive method. It utilizes interferometric detection to improve signal to noise ratio. It also utilizes phase controlled focusing beam to reduce the optical power needed and therefore minimizing the power consumption, making it practical for continuous monitoring. The integrated optical chip assembly shrinks the total sensor size and makes it suitable for wearable devices, hence, this device will be portable and removable."
US20180174068A1,06-21-2018,Method and process for providing a subject-specific computational model used for treatment of cardiovascular diseases,"A subject-specific simulation model of at least one component in the cardiovascular system for simulating blood flow and/or structural features. This simulation model can be used as a tool for cardiovascular diagnostic and/or treatment planning. The invention also regards non-invasive medical imaging of the cardiovascular system. The simulation model of a component in the cardiovascular system, for instance a pumping heart, is reconstructed by combining computational fluid dynamics (CFD) and/or fluid structure interaction (FSI) algorithms with medical imaging, such as for example ultrasound, MRI or CT. Such models make it possible to describe the complex flow phenomenon and provide flow details. The subject-specific model is a tool for clinical decision-making, an objective support for health care professionals in making decisions prior to surgery."
US20180192898A1,07-12-2018,Novel optical interferometric scanning detector for cardiovascular function monitoring,"The object of the present invention is to disclose a novel optical miniaturized handheld medical device for convenient monitoring and/or data collection of detailed signals on human cardiovascular function. The implementation consists of a number of advanced technologies, including interferometric detection, phase controlled focusing beam steering, auto-tracking scheme and algorism, and integrated optical chip assembly to enhance the device's performance and miniaturization. Briefly, this handheld medical device directs a single or dual output laser beam(s) onto certain skin surface to detect the surface vibration velocity at the point where the laser hits the surface. The skin surface vibrates in response to cardiovascular signals, such as blood pressure pulses, turbulent blood flow through narrowed arteries, pumping actions of the heart, or the closure of the heart valves etc. The miniaturized apparatus thus is capable of detecting these signals for the assessment of cardiovascular functions in both healthy and disease conditions."
US20180236038A1,08-23-2018,Liraglutide in cardiovascular conditions,The present invention relates to the GLP-1 receptor agonist liraglutide for use in medicine.
US20190038709A1,02-07-2019,A medicament for treating cardiovascular and cerebrovascular diseases,"A medicament for use in treating cardiovascular and cerebrovascular diseases, the medicament includes a marine algal glycoprotein."
US20200038055A1,02-06-2020,Free scar cardiovascular cannula and method,"An invention provides a cardiovascular cannula for extracorporeal circulation that the insertion into a surgical site heals by first intention and leaves no visible scars on the tissue, and a method for use. The invention including: a holder, a plurality of ducts including a first end and a second end, the first end connected to the holder, wherein the holder and the plurality of ducts includes a blood passageway, is provided. The invention including: a holder adapted to connect to an extracorporeal circulation apparatus, a plurality of ducts connected to the holder, and an internal connection adapted to connect the plurality of ducts within the circulatory system of a patient, is provided. The invention includes other embodiments and a method for extracorporeal circulation without visible tissue scarring."
US20200069249A1,03-05-2020,System and method for estimating cardiovascular fitness of a person,"The present invention relates to a system () for estimating cardiovascular fitness of a person, comprising a heart rate monitor () for acquiring a heart rate signal including information about the heart rate of the person, an activity monitor () for acquiring an activity signal indicative of physical activity of the person, a classifier () for classifying the activity of the person based on the acquired activity signal, a selector () for selecting one or more heart rate features obtained from the acquired heart rate signal based on the acquired heart rate signal and the classification of the activity for use in an estimation of the cardiovascular fitness of the person, and an estimator () for estimating the cardiovascular fitness of the person based on the one or more selected heart rate features"
US20200202995A1,06-25-2020,"Methods and device arrangement for physical activity thresholds reducing risks of diabetes, cardiovascular diseases, inflammations, dementia, cancers and mortality in sedentary subjects","Highblood levels of very low density lipoprotein lipids (VLDLs) and glycoprotein acyl (Glyc A) are known to increase risk of diabetes, cardiovascular diseases, inflammations, cognitive impairments, cancers and premature deaths in sedentary persons. The invention determines physical activity thresholds of daily steps and accelerations to reduce plasma concentrations of VLDLs and Glyc A. The method and device is an accelerometer recording and classifying numbers of steps and accelerations and comparing the person's steps and accelerations with those shown to reduce VLDLs and Gly A. The invention is characterized in that if the daily number of accleration maxima exceeds the given en threshold of 2980 steps in the acceleration range 1.3-1.7 g, the person has performed physical activity, typically known to reduce circulating VLDLs and Glyc A."
US20200242758A1,07-30-2020,"Method, apparatus, device and storage medium for extracting a cardiovascular vessel from a CTA image","The present invention is applicable to the technical field of medical image processing, and provides a method, an apparatus, a device, and a storage medium for extracting a cardiovascular vessel from a CTA image. The method comprises: performing erosion operation and dilation operation on image data successively via a preset structural element to obtain a structure mask; performing a slice-by-slice transformation on the plane of section images of the structural mask to acquire the first ascending aortic structure in the structural mask, and acquiring an aortic center position and an aortic radius in the last slice of the plane of section image of the said structural mask; establishing a binarized sphere structure according to the aortic center position and the aortic radius, and synthesizing a second ascending aorta structure by combining the first ascending aorta structure with the structure mask and the binarized sphere structure. The present invention realizes extracting shapes of ascending aorta and root aortic sinus, so that the aortic structure and morphology can be accurately visualized, thereby greatly improving the level and ability of medical imaging researches to solve clinical issues."
US20210121074A1,04-29-2021,System for monitoring cardiovascular and brain function in combination with physiological detection device and method thereof,"A system and method for monitoring cardiovascular and brain functions in combination with a physiological detection device, which uses a smart wearable device to detect physiological data such as heart rate and pulse pressure of a user, and transmits the physiological data to an arithmetic function. An electronic device in which a preset function and a calculation formula are built in, and the physiological data can be converted into corresponding determination parameters to monitor the possibility and risk of cardiovascular diseases and neurodegenerative diseases."
US20210169838A1,06-10-2021,Novel class of compounds for the treatment of cardiovascular disease.,"The present invention relates to the field of medicine, specifically the field of treatment and prevention of cardiovascular diseases."
US20210259666A1,08-26-2021,System and method for non-invasive real time assessment of cardiovascular blood pressure,"A system and method for non-invasive medical imaging based measurement and calculation of the cardiovascular pressure is presented, wherein the pressure measurements are performed by means of the image stream processing estimating the volumes of the oscillating traceable regions within the body. The invention is applicable to any part of the body transparent for imaging device capable to produce real-time image series. The image series is then processed to obtain the pressure values within the cardiovascular system. The invention permits to assess non-invasively and in real time the pressure in any part of the heart and large blood vessels, and calculate the major markers of heart failure, cardiomyopathy, ventricular ischemia, infarction and other heart related diseases."
US20120000283A1,01-05-2012,Lightweight Portable Moisture Traps For Use With Vacuum Pumps,"A portable moisture trap for use with a vacuum pump includes: a housing; a cooling chamber positioned at least partially within the housing including a first inlet port and a second outlet port; a lid that sealably attaches to a top portion of the cooling chamber to seal the cooling chamber; a heat sink residing under the cooling chamber; a thermoelectric device having an upper cooling side and a lower heat generating side residing between the cooling chamber and the heat sink; a fan oriented to blow air upwardly toward the heat sink; and a baffle extending downwardly in the cooling chamber from a location proximate the lid to a location proximate an inner bottom surface of the cooling chamber, with the baffle configured to define a physical barrier to urge air received through the first port to flow down toward the inner bottom surface of the cooling chamber before exiting through the second port, to thereby remove moisture from air traveling through the cooling chamber in response to a vacuum pump in fluid communication with the second port."
US20120000716A1,01-05-2012,Passenger's weight measurement device for vehicle seat and attachment structure for load sensor,"A lower rail is fixed to a vehicle floor, and an upper rail is movable in a rear and front direction with respect to the lower rail. A load sensor is fixed to an upper surface of the upper rail. A rectangular frame is attached onto the load sensor, a rod of the load sensor sequentially penetrates a web of the rectangular frame and a spring holder upward, and a coil spring is wound around the rod. A nut is screwed to the rod, and the nut tightens a bottom of a cup portion of the spring holder. The coil spring is sandwiched between a flange of the spring holder and the web and is compressed by tightening the nut."
US20120004162A1,01-05-2012,Methods of Treating an Overweight or Obese Subject,"The disclosure herein generally relates to methods of treating an over eight or obese condition, and overweight- or obesity-related conditions. In one embodiment, the disclosure provides a method of treating an overweight or obese condition involving administering to the subject in need thereof, an amount of a pharmaceutical composition including a MctAP-2 inhibitory compound, or a salt, ester, or prodrug thereof, effective to result in weight loss in the subject."
US20120010259A1,01-12-2012,Methods of Treating an Overweight or Obese Subject,"The invention herein generally relates to methods of treating a subject having an overweight or obese condition, and overweight- or obesity-related conditions. In one embodiment, the invention herein provides a method of treating a subject having an overweight or obese condition involving administering to the subject in need thereof, an amount of a pharmaceutical composition including a MetAP-2 inhibitory compound, or a salt, ester, or prodrug thereof, effective to result in weight loss in the subject."
US20120010290A1,01-12-2012,Methods of Treating an Overweight or Obese Subject,"The invention herein generally relates to methods of treating a subject having an overweight or obese condition, and overweight- or obesity-related conditions. In one embodiment, the invention herein provides a method of treating a subject having overweight or obese condition involving administering to the subject in need thereof, an amount of a pharmaceutical composition including a MetAP-2 inhibitory compound, or a salt, ester, or prodrug thereof, effective to result in weight loss in the subject."
US20120012482A1,01-19-2012,"Balanced, separable, weight-distributed golf bag for ease of carrying","A golf club bag is formed in two compartments and attached to form essentially an X shape at approximately midpoint on each compartment. The connection point may vary. Shoulder straps attached to each compartment allow the golfer to carry the bag with the weight proportionally distributed on each shoulder and across the back. The bag may also have a detachable connection to allow the bag to be separated to allow a single compartment to be carried or arranged in such a way that is convenient for storage or transit, and a stand that can be repositioned depending on the golf bag configuration."
US20120019024A1,01-26-2012,Lightweight multi-layer composite panel,Embodiments of the present disclosure include a composite panel and a method of manufacturing the composite panel. The composite panel includes first and second fiber reinforced plastic (FRP) layers. The composite panel also includes a core layer disposed between the first and second FRP layers. The core layer includes one of: a honeycomb material and a foam material. The composite panel further includes an exterior layer disposed on a surface of the first FRP layer opposite the core layer and an interior layer disposed on a surface of the second FRP layer opposite the core layer. The layers are cured together in one processing step.
US20120019518A1,01-26-2012,Rendering system and method based on weighted value of sub-pixel region,"A rendering system and method based on a weighted value of a sub-pixel region are provided. The rendering system may change a pixel value of a single sub-pixel using pixel values of sub-pixels that represent, as respective central viewpoints, a plurality of viewpoints represented by the single sub-pixel based on an inclined lens, and may perform rendering using the changed pixel value."
US20120021178A1,01-26-2012,"Belt-creped, variable local basis weight multi-ply sheet with cellulose microfiber prepared with perforated polymeric belt","A multi-ply absorbent sheet includes at least a first and second ply bonded together. In one construction, the first and second ply are provided with from about 90% by weight to about 25% by weight pulp-derived papermaking fiber and from about 10% to about 75% by weight fibrillated regenerated cellulosic microfiber having a characteristic CSF value of less than 175 ml; the sheet having a caliper of from 180-250 mils/8 sheets and exhibiting a wipe-dry time of less than 20 seconds, an SAT capacity in the range of 350-500 g/m, an SAT rate in the range of 0.05-0.25 g/s, a CD wet tensile in the range of 400-2500 g/3″ and a wet/dry CD tensile ratio of from 35% to 60%. The multi-ply sheets are efficient, high capacity wipers and have enough absorbent capacity to be used as ordinary paper towels. Preferred wiper towel products exhibit a differential pore volume for pores under 5 microns in diameter of at least about 75 mm/g/micron."
US20120033874A1,02-09-2012,Learning weights of fonts for typed samples in handwritten keyword spotting,"A wordspotting system and method are disclosed. The method includes receiving a keyword and, for each of a set of typographical fonts, synthesizing a word image based on the keyword. A keyword model is trained based on the synthesized word images and the respective weights for each of the set of typographical fonts. Using the trained keyword model, handwritten word images of a collection of handwritten word images which match the keyword are identified. The weights allow a large set of fonts to be considered, with the weights indicating the relative relevance of each font for modeling a set of handwritten word images."
US20120034233A1,02-09-2012,Methods of Treating an Overweight or Obese Subject,"The invention generally relates to methods of treating an overweight or obese subject, and treating overweight- or obesity-related conditions. In certain embodiments, the invention provides a method of treating an overweight or obese subject including administering a MetAP2 inhibitor in which the amount administered does not substantially modulate angiogenesis."
US20120037168A1,02-16-2012,Dental device for weight control,"A dental device for weight control is disclosed which comprises a body having an upper side and a lower side, a protrusion extending from the lower side for extending into an oral cavity to reduce a volume of the oral cavity, a front edge positioned between the upper side and the lower side contoured to fit against teeth, and a back edge positioned between the upper side and the lower side, the back edge for bearing against a roof of a mouth."
US20120039164A1,02-16-2012,System And Method Of Implementing Lightweight Not-Via IP Fast Reroutes In A Telecommunications Network,"A system, method, and node for implementing lightweight Not-via Internet Protocol fast reroutes of a packet in a telecommunications network between a first node and a destination node. The method determines a shortest path between the first node and the destination node and two redundant trees between the first node and the destination node. Each redundant tree provides an alternate path from the first node and the destination node. When a failure in a link between the first node and the destination node is detected, the packet is forwarded to the destination node via a first redundant tree, and if not available, via a second redundant tree. If the second redundant tree is not available, the packet is dropped. If no failure in the link between the first node and the destination node is detected, the packet is sent via the determined shortest path to the destination node."
US20120040165A1,02-16-2012,Lightweight Cementitious Compositions and Building Products and Methods for Making Same,"Cementitious compositions and methods for making same, in which the cementitious compositions include 35-60 wt. % cementitious reactive powder (also termed Portland cement-based binder), 2-10 wt. % expanded and chemically coated perlite filler, 20-40 wt. % water, entrained air, and optional additives such as water reducing agents, chemical set-accelerators, and chemical set-retarders. In addition, the lightweight cementitious compositions may contain 0-25 wt. % on a wet basis secondary fillers such as expanded clay, shale aggregate, and pumice."
US20120051080A1,03-01-2012,Mud flap weight lighted bracket,"A lighted bracket for a mud flap weight. The bracket includes a housing having at least one first aperture passing through it. The aperture is dimensioned and configured to attach the housing to a mud flap weight, and a light attached to the housing in a position such that illumination from the light passes through any openings in the mud flap weight."
US20120054970A1,03-08-2012,Foldable Lightweight Stretcher,"A foldable stretcher for transporting an object. The stretcher comprising: a plurality of substantially plane members pivotally connected with each other in series by means of hinges there between; handles pivotally connected to outermost of the plane members; and, at least two pluralities of props. The stretcher further comprises at least two pairs of sufficiently stiff wires. Each pair of the wires arranged along a corresponding long side of the stretcher; each the wire is mechanically connected to the stretcher at least two connection points; the handles adapted for actuating a tautening of at least one of the wires of each pair of wires by fixation of the handles when the stretcher is in the unfolded position."
US20120060263A1,03-15-2012,Lightweight Decorative Belt,"A lightweight decorative belt that includes a thin, elongated elastic strap with a thin buckle selectively attached at one end of the strap. The buckle includes a tongue member formed on one end that is selectively attached to an insert member affixed to the end of the strap. On the opposite end of the buckle is a d-ring with slot opening designed to receive the opposite end of the strap. The strap is designed to extend through the d-ring and is looped rearward and under the strap and hidden from view. Attached to the detached second end of the strap is a slide hook that selectively engages one of a plurality of side-by-side pockets formed on the inside surface. The strap can be adjusted by sliding the strap through the d-ring and connecting the slide hook to one of the desired pockets formed on the inside surface of the strap."
US20120062006A1,03-15-2012,Tension mechanism for a weight-responsive chair,"A weight-responsive chair is provided which has a weight-activated mechanism that resists rearward tilting of a chair back upright while also effecting lifting of a rear portion of the seat to counteract the rearward tilt forces. The weight-activated mechanism includes a spring package connected between the chair frame and back upright which provides for ready mounting of same to the chair frame. Further, the rear seat portion is connected in lifting engagement with the upright but also includes independent suspension for the center of the rear seat portion to allow for independent movement and flexing thereof to improve comfort for the chair occupant."
US20120064783A1,03-15-2012,Lightweight Outboard Electric Motor System,"An outboard electric motor kit that includes an electric motor assembly with a unitized propeller hub, a transom mount, a rechargeable electric battery, and an optional recharger. The assembly includes an electric motor unit located in an upper housing. A lower tube stem is attached and that extends downward from the upper housing to a lower housing. Formed on the lower housing is a receiving cavity with a rearward facing propeller hub opening. A drive shaft coupled to the motor unit extends downward inside the lower tube stem and mounted to a gear support block located in the receiving cavity. Mounted on the end of the drive shaft is a main gear. Mounted on the gear support block is a fixed axle that extends coaxially aligned through the propeller hub opening. Extended through the opening and coaxially mounted over the fixed axle is a removable propeller hub assembly."
US20120077154A1,03-29-2012,Incrementally-sized standard-sized eating-ware system for weight management,"An incrementally-sized Standard-Sized eating-ware system and process comprise a plurality of formulas to establish and assign Standard Sizes to eating-ware. The Standard Sizes' total volumetric capacity equivalents are based on a series of incrementally-sized flat surfaces. These capacity equivalents comprise volume inside eating-ware and directly above it. Standard Sizes guide and control amount and rate of food consumed. The system and processes provide a plurality of incrementally-sized Standard-Sized eating-ware components having successively decreasing Standard Sizes appointed to be utilized in a graduated manner over a period of time and deployed during intervals to provide gradual, unnoticeable food adjustment, which enables users to modify eating habits for effective weight management while minimizing the perception of change. Numerical and letter representations of Standard Size and Calorie Density Mark guide users in selecting eating-ware components to maintain, prevent, increase or decrease weight."
